Sistema;Emisión;Comprobante;Código;Descripción;Debe;Haber;Observaciones;
1;27-06-2023;REC-00001-00004032-055;956;CRESUD S A C I F Y A;4.761,00;0,00;;
1;17-07-2023;REC-00001-00004233-055;956;CRESUD S A C I F Y A;24.611,40;0,00;;
1;24-07-2023;REC-00001-00004289-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;124.296,66;0,00;;
1;25-07-2023;REC-00001-00004334-055;956;CRESUD S A C I F Y A;102.167,36;0,00;;
1;15-08-2023;REC-00001-00004669-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;111.721,68;0,00;;
1;23-08-2023;REC-00001-00004752-055;956;CRESUD S A C I F Y A;125.567,94;0,00;;
1;06-09-2023;REC-00001-00004903-055;2492;ARCOR S.A.I.C.;13.811,75;0,00;;
1;29-09-2023;REC-00001-00000022-053;956;CRESUD S A C I F Y A;1.058.073,66;0,00;;
1;10-10-2023;REC-00001-00005448-055;956;CRESUD S A C I F Y A;22.712,34;0,00;;
1;31-10-2023;REC-00001-00005724-055;938;MONSANTO ARGENTINA S A I C;62.895,43;0,00;;
1;17-11-2023;REC-00001-00005881-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;25.412,40;0,00;;
1;23-11-2023;REC-00001-00005912-055;1806;ARLETTAZ EDUARDO FABIAN;21.920,87;0,00;;
1;27-11-2023;REC-00001-00005936-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;54.069,12;0,00;;
1;30-11-2023;REC-00001-00005991-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;73.872,00;0,00;;
1;30-11-2023;REC-00001-00006009-055;956;CRESUD S A C I F Y A;55.659,55;0,00;;
2;13-06-2023;FACA-00200-00010392-510;666;VOLVO TRUCKS Y BUSES ARG. S.A.;9.776,52;0,00;;
2;15-06-2023;FACA-02172-00913399-510;908;YPF S A;1.137,28;0,00;;
2;30-06-2023;FACA-00200-00010603-510;666;VOLVO TRUCKS Y BUSES ARG. S.A.;627,05;0,00;;
2;21-06-2023;DIM-23001IC04103747Y-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;36.903,63;0,00;;
2;11-07-2023;FACA-00200-00010718-510;666;VOLVO TRUCKS Y BUSES ARG. S.A.;9.686,25;0,00;;
2;11-07-2023;FACA-00200-00010717-510;666;VOLVO TRUCKS Y BUSES ARG. S.A.;2.740,50;0,00;;
2;30-06-2023;FACA-02172-00925512-510;908;YPF S A;286,73;0,00;;
2;15-07-2023;FACA-02172-00944667-510;908;YPF S A;952,49;0,00;;
2;07-08-2023;FACA-00200-00011047-510;666;VOLVO TRUCKS Y BUSES ARG. S.A.;12.338,89;0,00;;
2;14-07-2023;FACA-00014-00075219-510;798;RIZOBACTER ARGENTINA S A;597,26;0,00;;
2;14-07-2023;FACA-00014-00075218-510;798;RIZOBACTER ARGENTINA S A;1.918,78;0,00;;
2;14-07-2023;FACA-00014-00075217-510;798;RIZOBACTER ARGENTINA S A;7.606,94;0,00;;
2;14-07-2023;FACA-00014-00075215-510;798;RIZOBACTER ARGENTINA S A;7.158,90;0,00;;
2;14-07-2023;FACA-00014-00075214-510;798;RIZOBACTER ARGENTINA S A;7.606,94;0,00;;
2;14-07-2023;FACA-00014-00075216-510;798;RIZOBACTER ARGENTINA S A;5.817,22;0,00;;
2;31-07-2023;FACA-02172-00956758-510;908;YPF S A;737,70;0,00;;
2;06-07-2023;DIM-23001IC04112759R-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;16.631,36;0,00;;
2;20-07-2023;DIM-23001ic04121992z-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;13.491,28;0,00;;
2;19-07-2023;DIM-23001IC04121049J-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;6.776,90;0,00;;
2;29-08-2023;FACA-00011-00035725-510;7259;MAMPRIN Y SCEVOLA S.R.L.;180,24;0,00;;
2;15-08-2023;FACA-02172-00975450-510;908;YPF S A;393,35;0,00;;
2;31-08-2023;DIM-23001IC04135026J-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;15.835,45;0,00;;
2;31-08-2023;FACA-00400-00002592-510;0;LA AGRICOLA REGIONAL COOPERATI;16,12;0,00;;
