Sistema;Emisión;Comprobante;Código;Descripción;Debe;Haber;Observaciones
1;24/7/2023;REC-00001-00004288-055;47;LORENZATI RUETSCH Y CIA S.A;8.310,40;0;
1;24/7/2023;REC-00001-00004289-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;8.021,27;0;
1;26/7/2023;REC-00001-00004369-055;354;CARGILL S.A.C.E.I.;33.050,92;0;IIBB CORDOBA
1;26/7/2023;REC-00001-00004394-055;1393;PRO DE MAN SOCIEDAD ANONIMA;129.162,69;0;
1;15/8/2023;REC-00001-00004669-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;14.419,54;0;
1;31/8/2023;REC-00001-00004872-055;354;CARGILL S.A.C.E.I.;10.321,72;0;RET IIBB CORDOBA
1;6/9/2023;REC-00001-00004903-055;2492;ARCOR S.A.I.C.;20.696,37;0;
1;7/9/2023;REC-00001-00004914-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;20.586,01;0;IBB CORDOBA
1;7/9/2023;REC-00001-00004919-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;41.460,68;0;RET IIBB CORDOBA
1;11/9/2023;REC-00001-00004955-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;33.405,77;0;RET IIBB CORDOBA- BUNGE 
1;14/9/2023;REC-00001-00005017-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;6.770,65;0;RET IIBB CORDOBA
1;15/9/2023;REC-00001-00005062-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;7.031,23;0;RET IIBB CORDOBA
1;20/9/2023;REC-00001-00005151-055;354;CARGILL S.A.C.E.I.;7.928,11;0;RET IIBB CORDOBA 
1;28/9/2023;REC-00001-00005277-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;15.612,66;0;RET IIBB CORDOBA
1;29/9/2023;REC-00001-00005354-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;3.065,66;0;RET IIBB CORDOBA 
1;9/10/2023;REC-00001-00005439-055;2492;ARCOR S.A.I.C.;15.408,68;0;
1;31/10/2023;REC-00001-00005724-055;938;MONSANTO ARGENTINA S A I C;4.557,43;0;
1;6/11/2023;REC-00001-00005755-055;354;CARGILL S.A.C.E.I.;11.912,17;0;RET IIBB CORDOBA
1;6/11/2023;REC-00001-00005760-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;2.600,00;0;RET IIBB CORDOBA
1;9/11/2023;REC-00001-00005797-055;354;CARGILL S.A.C.E.I.;9.774,32;0;RET IIBB CORDOBA
1;17/11/2023;REC-00001-00005881-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;3.279,90;0;
1;22/11/2023;REC-00001-00005896-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;150,64;0;RET IIBB CORDOBA 
1;27/11/2023;REC-00001-00005936-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;6.978,52;0;
1;30/11/2023;REC-00001-00005991-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;9.534,41;0;
1;19/12/2023;REC-00001-00006086-055;807;LDC ARGENTINA S A;376.581,53;0;RET IIBB CORDOBA 
1;20/12/2023;REC-00001-00006106-055;354;CARGILL S.A.C.E.I.;92.996,61;0;RET IIBB CORDOBA 
1;27/12/2023;REC-00001-00006135-055;2492;ARCOR S.A.I.C.;2.215,48;0;
1;4/1/2024;REC-00001-00006164-055;2492;ARCOR S.A.I.C.;2.224,74;0;
1;31/12/2023;REC-00001-00006176-055;938;MONSANTO ARGENTINA S A I C;187,43;0;
1;1/1/2024;REC-00001-00006302-055;938;MONSANTO ARGENTINA S A I C;8.207,04;0;
1;31/1/2024;REC-00001-00006340-055;938;MONSANTO ARGENTINA S A I C;46.943,95;0;
1;5/2/2024;REC-00001-00006347-055;1316;ENRIQUE R. ZENI Y CIA SACIAFEL;24.587,71;0;RET IIBB CORDOBA 
1;1/1/2024;REC-00001-00006379-055;182;FUTUROS Y OPCIONES COM S.A. MERCADO;9.237,78;0;RET IIBB CORDOBA
1;31/1/2024;REC-00001-00006380-055;182;FUTUROS Y OPCIONES COM S.A. MERCADO;11.203,45;0;RET IIBB CORDOBA
1;21/2/2024;REC-00001-00000038-053;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;467.683,49;0;
1;23/2/2024;REC-00001-00006436-055;2492;ARCOR S.A.I.C.;23.444,13;0;
1;23/2/2024;REC-00001-00006437-055;2492;ARCOR S.A.I.C.;53.916,66;0;
1;23/2/2024;REC-00001-00006438-055;2492;ARCOR S.A.I.C.;20.631,37;0;
1;23/2/2024;REC-00001-00006439-055;2492;ARCOR S.A.I.C.;19.425,14;0;
1;23/2/2024;REC-00001-00006440-055;2492;ARCOR S.A.I.C.;8.037,99;0;
1;23/2/2024;REC-00001-00006441-055;2492;ARCOR S.A.I.C.;2.737,10;0;
2;14/6/2023;FACA-00619-00003461-510;1399;DINOSAURIO S.A.;130,79;0;
2;21/6/2023;NCA-00253-00011470-570;1;ATANOR S.C.A.;0;5.947,83;
2;2/7/2023;NDA-00254-00091133-520;1;ATANOR S.C.A.;54,64;0;
2;3/7/2023;FACA-00674-00027289-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;130,02;0;
2;6/7/2023;FACA-05010-00009575-510;295;CARGILL S.A.C.E.I.;77,85;0;
2;6/7/2023;FACA-00674-00027740-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;49,04;0;
2;6/7/2023;FACA-00674-00027716-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;35,44;0;
2;6/7/2023;FACA-00674-00027739-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;37,25;0;
2;10/7/2023;FACA-00674-00028060-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;365,2;0;
2;10/7/2023;FACA-00674-00028061-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;318,1;0;
2;11/7/2023;FACA-00004-00024043-510;872;EL GRAN OMBU S A;32,53;0;
2;12/7/2023;FACA-00674-00028390-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;154,6;0;
2;18/7/2023;NDA-00254-00091448-520;1;ATANOR S.C.A.;2.386,87;0;
2;18/7/2023;NDA-00254-00091447-520;1;ATANOR S.C.A.;45.012,85;0;
2;18/7/2023;NDA-00254-00091446-520;1;ATANOR S.C.A.;40.570,10;0;
2;18/7/2023;NDA-00254-00091445-520;1;ATANOR S.C.A.;84.234,76;0;
2;19/7/2023;FACA-00253-00113394-510;1;ATANOR S.C.A.;82.278,29;0;
2;13/7/2023;FACA-00674-00028545-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;150,18;0;
2;14/7/2023;FACA-00674-00028773-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;40,27;0;
2;20/7/2023;FACA-00674-00029360-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;71,31;0;
2;21/7/2023;FACA-00380-00002865-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;144.074,25;0;
2;17/7/2023;FACA-06364-07666645-510;29;TELECOM ARGENTINA S.A.;25,4;0;.
2;21/7/2023;FACA-00674-00029574-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;294,05;0;
2;21/7/2023;FACA-00674-00029573-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;122,22;0;
2;19/7/2023;FACA-05010-00009857-510;295;CARGILL S.A.C.E.I.;13,38;0;
2;19/7/2023;FACA-05010-00009855-510;295;CARGILL S.A.C.E.I.;53,53;0;
2;19/7/2023;FACA-05010-00009854-510;295;CARGILL S.A.C.E.I.;74,94;0;
2;25/7/2023;FACA-05010-00009991-510;295;CARGILL S.A.C.E.I.;213,75;0;
2;21/7/2023;NCA-05010-00006494-570;295;CARGILL S.A.C.E.I.;0;48,18;
2;21/7/2023;NCA-05010-00006495-570;295;CARGILL S.A.C.E.I.;0;230,18;
2;21/7/2023;NCA-05010-00006493-570;295;CARGILL S.A.C.E.I.;0;69,59;
2;20/7/2023;NCA-05010-00006492-570;295;CARGILL S.A.C.E.I.;0;32,74;
2;20/7/2023;NCA-05010-00006484-570;295;CARGILL S.A.C.E.I.;0;683,76;
2;20/7/2023;NCA-05010-00006483-570;295;CARGILL S.A.C.E.I.;0;181,76;
2;19/7/2023;FACA-05010-00009858-510;295;CARGILL S.A.C.E.I.;32,12;0;
2;19/7/2023;FACA-05010-00009856-510;295;CARGILL S.A.C.E.I.;243,56;0;
2;25/7/2023;NCA-05570-00006614-570;295;CARGILL S.A.C.E.I.;0;1.968,37;
2;25/7/2023;NCA-05570-00006615-570;295;CARGILL S.A.C.E.I.;0;257,92;
2;20/7/2023;NDA-05018-00000909-520;295;CARGILL S.A.C.E.I.;32,74;0;
2;20/7/2023;NCA-05570-00006594-570;295;CARGILL S.A.C.E.I.;0;2.049,12;
2;25/7/2023;FACA-00253-00113579-510;1;ATANOR S.C.A.;87.725,41;0;
2;25/7/2023;FACA-00253-00113578-510;1;ATANOR S.C.A.;87.725,41;0;
2;25/7/2023;FACA-00253-00113601-510;1;ATANOR S.C.A.;87.725,41;0;
2;24/7/2023;FACA-00674-00029748-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;64,55;0;
2;26/7/2023;FACA-00253-00113645-510;1;ATANOR S.C.A.;87.919,64;0;
2;25/7/2023;FACA-00674-00029901-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;404,91;0;
2;26/7/2023;FACA-05010-00010041-510;295;CARGILL S.A.C.E.I.;483,45;0;
2;27/7/2023;FACA-00674-00030313-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;391,25;0;
2;27/7/2023;FACA-00674-00030314-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;210,44;0;
2;31/7/2023;FACA-00253-00113976-510;1;ATANOR S.C.A.;14.766,11;0;
2;31/7/2023;FACA-00253-00113975-510;1;ATANOR S.C.A.;62.009,47;0;
2;31/7/2023;FACA-00253-00113974-510;1;ATANOR S.C.A.;62.009,47;0;
2;31/7/2023;FACA-00253-00113973-510;1;ATANOR S.C.A.;62.009,47;0;
2;31/7/2023;FACA-00253-00113972-510;1;ATANOR S.C.A.;62.009,47;0;
2;31/7/2023;FACA-00253-00113971-510;1;ATANOR S.C.A.;62.009,47;0;
2;31/7/2023;NCA-00253-00011584-570;1;ATANOR S.C.A.;0;87.725,41;
2;31/7/2023;FACA-00253-00113945-510;1;ATANOR S.C.A.;71.180,86;0;
2;31/7/2023;NCA-00253-00011583-570;1;ATANOR S.C.A.;0;87.725,41;
2;31/7/2023;NCA-00253-00011582-570;1;ATANOR S.C.A.;0;87.725,41;
2;31/7/2023;FACA-00253-00113944-510;1;ATANOR S.C.A.;71.180,86;0;
2;31/7/2023;FACA-00253-00113943-510;1;ATANOR S.C.A.;71.178,15;0;
2;31/7/2023;NCA-00253-00011581-570;1;ATANOR S.C.A.;0;87.919,64;
2;31/7/2023;FACA-00253-00113942-510;1;ATANOR S.C.A.;71.338,46;0;
2;31/7/2023;FACA-00674-00030786-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;163,6;0;
2;15/7/2023;FACA-02172-00944667-510;908;YPF S A;508,19;0;
2;2/8/2023;FACA-00674-00031104-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;127,37;0;
2;24/7/2023;FACA-00529-00014970-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;138.809,86;0;
2;21/7/2023;FACA-00644-00017224-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;270,98;0;
2;28/7/2023;FACA-00674-00030499-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;39,79;0;
2;7/7/2023;FACA-00674-00027922-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;645,2;0;
2;4/7/2023;FACA-00674-00027392-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;510,97;0;
2;11/7/2023;FACA-00674-00028255-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;316,92;0;
2;11/7/2023;FACA-00674-00028256-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;246,66;0;
2;7/7/2023;FACA-00674-00027923-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;161,21;0;
2;5/7/2023;FACA-00674-00027610-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;126,99;0;
2;4/7/2023;FACA-00674-00027393-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;47,45;0;
2;3/8/2023;FACA-00674-00031491-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;705,28;0;
2;7/8/2023;FACA-00674-00031894-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;327,06;0;
2;9/8/2023;FACA-00253-00114162-510;1;ATANOR S.C.A.;98.219,52;0;
2;31/7/2023;FACA-02172-00956758-510;908;YPF S A;2.036,47;0;
2;10/8/2023;FACA-00253-00114222-510;1;ATANOR S.C.A.;52.285,10;0;
2;10/8/2023;FACA-00253-00114202-510;1;ATANOR S.C.A.;72.542,16;0;
2;10/8/2023;FACA-00253-00114201-510;1;ATANOR S.C.A.;72.542,16;0;
2;7/8/2023;FACA-05010-00010455-510;295;CARGILL S.A.C.E.I.;27,94;0;
2;27/7/2023;FACA-00380-00003354-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;596.393,50;0;
2;28/7/2023;FACA-00380-00003800-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;511.488,99;0;
2;27/7/2023;FACA-00380-00003355-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;384.516,58;0;
2;28/7/2023;FACA-00380-00003607-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;271.619,80;0;
2;28/7/2023;FACA-00380-00003608-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;164.376,16;0;
2;27/7/2023;FACA-00380-00003356-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;84.785,65;0;
2;28/7/2023;FACA-00380-00003606-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;56.564,47;0;
2;27/7/2023;FACA-00380-00003353-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;33.950,78;0;
2;11/8/2023;FACA-00674-00032803-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;359,71;0;
2;4/8/2023;FACA-05010-00010382-510;295;CARGILL S.A.C.E.I.;27,81;0;
2;8/8/2023;FACA-05010-00010518-510;295;CARGILL S.A.C.E.I.;19,82;0;
2;15/8/2023;FACA-00253-00114424-510;1;ATANOR S.C.A.;96.082,27;0;
2;22/8/2023;FACA-00253-00114531-510;1;ATANOR S.C.A.;89.027,28;0;
2;22/8/2023;NCA-00253-00011621-570;1;ATANOR S.C.A.;0;29.162,00;
2;17/8/2023;FACA-06364-07730781-510;29;TELECOM ARGENTINA S.A.;28,29;0;.
2;16/8/2023;FACA-00380-00004582-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;19.922,00;0;
2;17/8/2023;FACA-00380-00004637-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;196.969,36;0;
2;17/8/2023;FACA-00380-00004675-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;513.362,65;0;
2;20/8/2023;FACA-00380-00004693-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;82.420,22;0;
2;20/8/2023;FACA-00380-00004719-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;153.971,00;0;
2;1/8/2023;FACA-00380-00003105-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;146.040,92;0;
2;25/8/2023;FACA-00253-00114649-510;1;ATANOR S.C.A.;812;0;
2;7/8/2023;FACA-00529-00015221-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;18.018,08;0;
2;7/8/2023;FACA-00529-00015215-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;74.952,40;0;
2;7/8/2023;FACA-00529-00015222-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;63.356,58;0;
2;7/8/2023;FACA-00529-00015204-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;63.356,58;0;
2;7/8/2023;FACA-00529-00015203-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;63.356,58;0;
2;7/8/2023;FACA-00529-00015171-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;3.220,91;0;
2;4/8/2023;FACA-00529-00015161-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;63.073,08;0;
2;4/8/2023;FACA-00529-00015154-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;63.073,08;0;
2;28/8/2023;NDA-00254-00092531-520;1;ATANOR S.C.A.;717,78;0;
2;28/8/2023;NDA-00254-00092530-520;1;ATANOR S.C.A.;1.060,30;0;
2;28/8/2023;NDA-00254-00092529-520;1;ATANOR S.C.A.;1.023,80;0;
2;28/8/2023;FACA-00253-00114722-510;1;ATANOR S.C.A.;117.532,07;0;
2;28/8/2023;FACA-00253-00114723-510;1;ATANOR S.C.A.;108.492,49;0;
2;28/8/2023;FACA-00253-00114724-510;1;ATANOR S.C.A.;108.492,49;0;
2;28/8/2023;FACA-00253-00114725-510;1;ATANOR S.C.A.;108.492,49;0;
2;29/8/2023;FACA-00253-00114805-510;1;ATANOR S.C.A.;108.446,01;0;
2;29/8/2023;FACA-00253-00114804-510;1;ATANOR S.C.A.;18.074,92;0;
2;29/8/2023;FACA-00253-00114803-510;1;ATANOR S.C.A.;90.371,09;0;
2;28/8/2023;NDA-00618-00002872-520;892;RIO CHICO S A;5.293,16;0;
2;15/8/2023;FACA-02172-00975450-510;908;YPF S A;1.063,47;0;
2;31/8/2023;DIM-23001IC04135026J-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;4.616,41;0;
2;31/8/2023;NCA-00253-00011639-570;1;ATANOR S.C.A.;0;2.614,83;
2;29/8/2023;FACA-00674-00034634-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;157,82;0;
2;31/8/2023;FACA-00253-00115027-510;1;ATANOR S.C.A.;90.387,50;0;
2;31/8/2023;FACA-00253-00114956-510;1;ATANOR S.C.A.;76.828,50;0;
2;31/8/2023;FACA-00253-00114954-510;1;ATANOR S.C.A.;108.461,50;0;
