Sistema;Emisión;Comprobante;Código;Descripción;Debe;Haber;Observaciones;
1;01-03-2024;REC-00001-00006582-055;345;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;5.032,95;0,00;;
1;22-03-2024;REC-00001-00006622-055;938;MONSANTO ARGENTINA S A I C;12.890,16;0,00;;
2;01-03-2024;NCA-00674-00032375-570;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;0,00;25.312,50;;
2;01-03-2024;NCA-00674-00032374-570;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;0,00;25.312,50;;
2;01-03-2024;NCA-00674-00032373-570;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;0,00;25.312,50;;
2;01-03-2024;NCA-00674-00032372-570;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;0,00;25.312,50;;
2;01-03-2024;NCA-00674-00032371-570;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;0,00;25.312,50;;
2;01-03-2024;NCA-00674-00032370-570;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;0,00;25.312,50;;
2;01-03-2024;NCA-00674-00032369-570;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;0,00;25.312,50;;
2;01-03-2024;NCA-00674-00032368-570;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;0,00;25.312,50;;
2;11-03-2024;NCA-00200-00001264-570;666;VOLVO TRUCKS Y BUSES ARG. S.A.;0,00;113.779,69;;
